Creation Date,Accession Number,Artist,Credit Line,Display Title,Display Dimensions,Medium,Media & Support,Facility ,Current Location,Location Description,Street Address,Street Address 2,District Name,Geocoding Source,Geocoding Accuracy,Geocoding Accuracy Type,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
1991-1997,1997.4.2.a-f,"Riley, Cheryl",Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Bayview Police Station,Maasai Warrior Shield Light Sconces,24  x 20  x 5 3/4 in.,"Copper, lacquer paint, electrical wiring","Copper, lacquer paint, electrical wiring",SFPD   Bayview Station,City Agency,Entrance Lobby,"201 Williams Ave, San Francisco, CA 94124",,District 10,Automation,1,parcel,37.729803,-122.39788,POINT (-122.39788 37.729803),86,2,9,1
1940-1941,1940.5.1-2,"Olmsted, Jr., Frederick Law",Collection of the City and County of San Francisco; Works Progress Administration,Edison and Leonardo Da Vinci,183  x 52  x 52 in.,Tuff stone,Tuff stone,CCSF  Ocean Campus,Public Display,,"50 Phelan Ave, San Francisco, CA 94112",,District 7,Automation,1,range_interpolation,37.724311,-122.452194,POINT (-122.452194 37.724311),95,9,8,41
1934,1934.14,"Bertrand, Raymond",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Meat Industry,120 x 120 in.,Fresco,Fresco,Coit Tower,Public Display,1St Floor,1 Telegraph Hill Blvd.,,District 3,Department Data,,,37.8023949,-122.4058222,POINT (-122.4058222 37.8023949),18,6,3,23
1974,1984.4,"Rios, Michael",Collection of the City and County of San Francisco; Purchased by the San Francisco Arts Commission for the San Francisco General Hospital,Untitled,96  x 240 in.,Mosaic-tile mural,Mosaic-tile mural,San Francisco General Hospital,City Agency,Main Building Third Floor East Courtyard,"1001 Portrero Avenue, San Francisco, CA",,District 10,,,,,,,,,,
1995,1995.9.3,"Poethig, Johanna",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Tenderloin Children's Recreation Center,Prediction,61 1/2  x 6 3/4 in.,Glaze on ceramic tiles,Glaze on ceramic tiles on concrete,Tenderloin Recreation Center,Public Display,"Exterior Columns, Facing Playground","570 Ellis St, San Francisco, CA 94109",,District 6,Automation,1,parcel,37.784672,-122.415597,POINT (-122.415597 37.784672),20,5,10,36
2005,2006.5.p,"Saulls, Vicki",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commision for the Eureka Valley Recreation Center,From the Heart Outwards,10 x 10 x 3 1/2 in.,Cold-cast bronze and zinc/aluminum,Cold-cast bronze and zinc/aluminum,Eureka Valley Recreation Center,Public Display,Interior Lobby,"100 Collingwood St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.76048,-122.436243,POINT (-122.436243 37.76048),38,3,5,5
1984,1985.14.2,"Fuller (McChesney), Mary",Collection of the City and County of San Francisco; Gift of the Tamarack Foundation and the Mayor's Office of Community Development to San Francisco Arts Commission,Ram,37 x 42 x 52 in.,Cast concrete,Cast concrete,Chinatown Portsmouth Square,Public Display,Lower Level Playground,"Clay St and Kearny St, San Francisco, CA 94108",,District 3,Automation,1,intersection,37.794453,-122.404796,POINT (-122.404796 37.794453),104,6,3,6
1989,1989.24,"Martin, Fran",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Griffith Pump Station,Ndebele,139  x 90  x 24 in.,"Steel, reinforced concrete, bronze and granite","Steel, reinforced concrete, bronze and granite",Griffith Pump Station,City Agency,,"1601 Griffith St, San Francisco, CA 94124",,District 10,Automation,1,parcel,37.724928,-122.381611,POINT (-122.381611 37.724928),78,2,9,1
2017,2017.9.a,"Garza, Carmen Lomas",Collection of the City and County of San Francisco,The Great Blue Heron,72 x 72 in.,Painted water-jet cut steel,Painted water-jet cut steel,Chan Kaajal Park,Public Display,17Th And Folsom,3100 17th St.,,District 9,Department Data,,,37.7640100,-122.4158200,POINT (-122.41582 37.76401),53,3,2,20
2013,2014.3.b,"Saunders, Ron Moultrie",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Bayview Branch,Symbiotic Relationships (panel 2 of 5),44  x 55 in.,Archival pigment print,Archival pigment print on aluminum with plexi,San Francisco Public Library Bayview Branch,City Agency,,"5075 3rd St, San Francisco, CA 94124",,District 10,Automation,1,range_interpolation,37.732565,-122.391215,POINT (-122.391215 37.732565),86,2,9,1
2008,2008.14,"Lin, Maya",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for California Academy of Sciences,Where the Land Meets the Sea,360  x 720  x 180 in.,Marine grade stainless steel,Marine grade stainless steel,California Academy of Sciences,Public Display,East Patio,55 Music Concourse Dr.,,District 1,Department Data,,,37.76904,-122.4835193,POINT (-122.4835193 37.76904),9,8,4,12
